seq,edge_id,point_index,x,y,lon,lat
9,5094886#2,9,272.8,1420.62,145.12973775129848,-37.907595881577
9,5094886#2,10,269.55,1422.43,145.12970121318074,-37.90757898932153
9,5094886#2,11,265.1,1425.25,145.12965126203622,-37.90755278186568
10,985461732,0,259.2,1426.57,145.1295844829462,-37.90753982465926
10,985461732,1,258.1,1426.51,145.12957196278282,-37.907540166338464
10,985461732,2,256.97,1426.3,145.1295590673157,-37.90754185382816
10,985461732,3,255.87,1425.86,145.12954646046595,-37.90754561863101
10,985461732,4,254.57,1425.11,145.12953150899176,-37.907552139833946
10,985461732,5,253.52,1424.19,145.12951936111543,-37.90756023762009
10,985461732,6,252.3,1422.87,145.12950518916614,-37.907571907968645
11,-10539447#1,0,249.97,1418.24,145.1294776419238,-37.90761319491414
11,-10539447#1,1,248.74,1409.59,145.1294616840521,-37.907690893751166
12,-10539447#0,0,248.01,1404.52,145.12945222764392,-37.9077364335103
12,-10539447#0,1,234.91,1313.87,145.1292826040717,-37.90855066114896
13,-4577073#9,0,232.94,1299.59,145.12925694761003,-37.908678942464995
13,-4577073#9,1,230.3,1279.65,145.12922238189103,-37.90885808919406
13,-4577073#9,2,218.81,1198.32,145.12907318494732,-37.90958865067999
14,-4577073#4,0,214.68,1168.91,145.1290195160794,-37.90985283576427
14,-4577073#4,1,211.33,1143.39,145.12897560306766,-37.91008211985665
14,-4577073#4,2,208.19,1119.47,145.12893444259228,-37.91029702873605
15,-4577073#3,0,207.5,1114.12,145.128925376356,-37.91034509795046
15,-4577073#3,1,203.97,1086.54,145.1288789459504,-37.910592906358026
15,-4577073#3,2,198.72,1045.49,145.1288098843822,-37.9109617444085
16,-4577073#2,0,198.08,1040.53,145.1288014754819,-37.91100630944027
16,-4577073#2,1,197.21,1033.68,145.12879002007892,-37.91106785841185
17,-4577073#1,0,195.97,1024.37,145.1287737962461,-37.911151500689016
17,-4577073#1,1,192.38,998.44,145.12872705912386,-37.911384434569186
17,-4577073#1,2,179.65,903.22,145.12856058127954,-37.91223989471227
17,-4577073#1,3,179.63,897.14,145.1285589659308,-37.91229466104207
18,-4577073#0,0,179.75,889.96,145.12855869130487,-37.91235936172776
18,-4577073#0,1,179.93,885.45,145.1285597084037,-37.91240002133093
19,491516483#0,0,179.93,884.98,145.12855960111148,-37.912404255191866
19,491516483#0,1,178.57,861.4,145.12853875460232,-37.91261642292122
19,491516483#0,2,178.19,844.47,145.12853056898916,-37.912768863259714
19,491516483#0,3,179.43,837.96,145.12854318204307,-37.91282773100209
19,491516483#0,4,180.01,837.37,145.12854964214625,-37.91283315074794
20,491516483#1,0,186.87,830.87,145.12862615882503,-37.91289294482245
20,491516483#1,1,191.91,828.77,145.12868298597994,-37.91291277356287
21,1470433047#2,0,201.18,829.24,145.1287884963633,-37.912910216120075
21,1470433047#2,1,201.79,829.32,145.1287954505345,-37.91290960577402
21,1470433047#2,2,202.85,829.07,145.12880744603666,-37.91291204951507
22,1470433046#0,0,212.08,826.34,145.12891177122904,-37.9129383110179
22,1470433046#0,1,216.47,826.74,145.12896177836294,-37.91293550154921
22,1470433046#0,2,225.73,825.07,145.12906668667694,-37.912952219632196
23,1470433046#1,0,243.94,822.37,145.1292731246946,-37.91297983421645
23,1470433046#1,1,244.04,822.35,145.12927425716657,-37.912980032459984
24,1470433046#2,0,249.09,821.72,145.12933153372072,-37.91298662062099
24,1470433046#2,1,314.29,813.54,145.13007101556977,-37.91307209279584
25,1470433046#3,0,321.45,812.59,145.1301522107945,-37.91308194449817
25,1470433046#3,1,333.72,810.8,145.1302913171159,-37.913100286411705
26,1360476884,0,343.12,809.46,145.13039789312833,-37.913114055904536
26,1360476884,1,371.45,805.46,145.13071910413964,-37.91315520713003
26,1360476884,2,374.88,804.84,145.1307579632248,-37.913161411861964
27,1470433048,0,375.18,804.77,145.1307613583825,-37.913162096632384
27,1470433048,1,382.57,803.74,145.13084515076883,-37.91317271006841
27,1470433048,2,405.42,799.59,145.13110401830644,-37.913214221561226
27,1470433048,3,405.76,799.27,145.13110781129214,-37.913217165603044
28,711979119,0,408.86,792.52,145.13114152073592,-37.91327853103622
28,711979119,1,408.53,790.75,145.1311373649838,-37.91329441599525
28,711979119,2,406.67,789.01,145.1311158193234,-37.913309754367496
28,711979119,3,403.24,788.57,145.13107671846493,-37.913313098470994
28,711979119,4,400.31,789.58,145.13104363339423,-37.91330347094466
28,711979119,5,392.92,795.26,145.130960901006,-37.913250969395754
28,711979119,6,390.26,796.8,145.13093100682954,-37.91323661624913
28,711979119,7,374.73,801.57,145.13075551204022,-37.91319084165994
29,-1360476884,0,374.31,801.69,145.13075076383421,-37.913189684800116
29,-1360476884,1,370.95,802.3,145.1307126983827,-37.913183582793444
29,-1360476884,2,342.67,806.29,145.13039205349182,-37.91314253066393
30,-1470433046#3,0,333.31,807.63,145.13028593225536,-37.91312876839262
30,-1470433046#3,1,320.98,809.43,145.13014614594005,-37.913110325546725
31,-1470433046#2,0,313.9,810.37,145.13006585803484,-37.913100578378916
31,-1470433046#2,1,248.69,818.54,145.1293262599236,-37.913015194439
32,-1470433046#1,0,243.62,819.18,145.12926875822268,-37.91300851257686
32,-1470433046#1,1,243.51,819.2,145.12926751204668,-37.91300831252535
33,-1470433046#0,0,225.16,821.92,145.12905948666673,-37.91298049245128
33,-1470433046#0,1,216.33,823.52,145.1289594515906,-37.9129644826896
33,-1470433046#0,2,212.37,823.15,145.12891434053682,-37.91296709966573
34,1470433047#3,0,205.46,818.93,145.12883480816166,-37.91300386479788
34,1470433047#3,1,205.29,818.84,145.12883285465767,-37.91300464479543
35,-93686025#2,0,201.39,812.68,145.1287871041805,-37.913059430137146
35,-93686025#2,1,199.0,800.91,145.12875724234615,-37.91316502461564
35,-93686025#2,2,197.39,789.44,145.12873631781272,-37.91326805767745
36,-93686025#0,0,195.67,775.52,145.12871358320635,-37.913393140963535
36,-93686025#0,1,194.81,767.94,145.12870207434196,-37.91346126769579
36,-93686025#0,2,193.05,753.44,145.1286787523863,-37.91359156849802
36,-93686025#0,3,231.92,747.53,145.12911937303414,-37.91365183592667
37,-93686034#0,0,237.05,746.79,145.1291775346233,-37.913659429543785
37,-93686034#0,1,255.55,744.25,145.1293873086036,-37.913685655095975
37,-93686034#0,2,291.23,739.4,145.1297919004973,-37.91373579461694
37,-93686034#0,3,291.9,735.85,145.1297987088166,-37.9137678948933
38,-46129059#4,0,292.17,728.44,145.12980008831897,-37.913834694596936
38,-46129059#4,1,292.14,728.24,145.12979970157576,-37.9138364908184
39,-46129059#3,0,290.8,719.56,145.12978248482162,-37.913914439959164
39,-46129059#3,1,287.26,689.79,145.1297354411728,-37.91418197476917
40,-46129059#2,0,286.07,680.5,145.1297197906646,-37.914265446018256
40,-46129059#2,1,285.44,675.85,145.12971156628518,-37.91430722035592
41,-46129059#1,0,283.94,664.69,145.1296919641796,-37.914407480930905
41,-46129059#1,1,280.09,635.54,145.12964153638643,-37.91466937453565
42,-46129059#0,0,279.1,628.43,145.12962865718413,-37.91473324400078
42,-46129059#0,1,279.01,627.84,145.12962749920683,-37.9147385425798
43,44348023#1,0,283.57,618.51,145.12967722051602,-37.9148234135182
43,44348023#1,1,294.34,617.55,145.12979946335022,-37.91483400812972
43,44348023#1,2,313.3,615.51,145.13001458548086,-37.91485581168684
44,1038136215,0,313.58,615.48,145.13001776241993,-37.914856132537096
44,1038136215,1,338.2,612.32,145.13029698715857,-37.91488904768661
45,139327110#0,0,341.76,616.71,145.13033846799962,-37.91485014488711
45,139327110#0,1,404.31,609.02,145.1310479492958,-37.914930718536134
45,139327110#0,2,414.71,607.75,145.1311659147391,-37.91494403745404
46,1209622645,0,455.27,602.13,145.1316258283926,-37.91500198860085
46,1209622645,1,516.61,593.78,145.1323214039436,-37.915088281578164
47,569766862#0,0,518.9,588.6,145.1323462626346,-37.91513535756522
47,569766862#0,1,568.9,581.18,145.13291310822888,-37.915211222456364
48,569766862#0-AddedOffRampEdge,0,577.045,581.58,145.1330058139023,-37.9152090888841
48,569766862#0-AddedOffRampEdge,1,671.2049999999999,567.59,145.13407329738206,-37.91535209951464
49,44348588#0,0,673.46,572.21,145.13409999008556,-37.91531088810993
49,44348588#0,1,695.29,571.9,145.1343481430105,-37.915317617110944
49,44348588#0,2,703.64,576.22,145.13444407197088,-37.91528020706886
50,44348588#1,0,709.75,580.31,145.13451447803246,-37.91524446498438
50,44348588#1,1,715.27,585.01,145.13457831411014,-37.91520312145865
51,139332152#2,0,722.5999999999999,591.05,145.13466303606793,-37.91515003316025
51,139332152#2,1,732.45,629.1700000000001,145.1347837117231,-37.9148084146476
