gps_x,gps_y
805.4369479,827.3882689
808.7954472,835.198677
816.0292122,847.2270003
822.5772049,856.0953716
824.7399559,865.214302
828.850454,874.3713899
828.9681083,878.5281864
833.6325484,890.9675075
838.1765216,900.0909357
844.011745,909.452055
848.5066586,919.0572531
851.6565402,932.2482302
856.5206012,940.5459321
859.8890609,955.4278488
864.3422803,967.4502074
867.8318063,977.4898228
866.9945742,983.6768763
867.7545691,987.1500302
870.3571849,1000.11233
871.471699,1011.031408
873.2308034,1022.866075
875.7222179,1035.867199
876.9572472,1049.467435
878.3798339,1062.245585
880.4344303,1075.276387
882.0412909,1087.735292
884.2992268,1099.614785
887.112898,1112.484404
886.5541439,1125.619056
889.6955381,1138.410757
890.010864,1151.335179
891.8387706,1163.221826
895.7977194,1178.422826
896.984067,1190.925514
897.2836667,1201.277417
898.7930569,1205.550843
885.7958086,1208.22582
879.229121,1205.123524
874.592923,1203.096833
870.1261329,1201.943404
864.2337142,1199.465221
856.0975097,1200.295892
852.7936667,1199.902876
849.6290163,1198.990335
849.2285998,1187.74114
849.5777129,1184.682391
849.7329334,1183.323899
849.6205898,1182.268737
848.9301983,1181.593831
849.4400157,1179.803328
848.838962,1180.03075
850.0738539,1180.156242
850.068894,1179.540099
850.0750763,1180.308126
850.0774919,1180.608197
850.0765406,1180.490008
850.0736075,1180.125634
850.0681552,1179.448311
848.7877461,1178.404843
848.2961606,1176.670533
849.0235496,1171.127123
849.9416077,1163.76567
847.8332104,1156.616768
842.4430905,1155.626758
837.5843969,1155.212322
832.7815976,1154.968875
830.3571006,1155.828107
830.4276876,1156.174746
829.3268714,1167.364716
829.2738282,1174.819517
829.1520637,1185.60326
831.6995503,1197.209406
831.2091802,1208.774557
828.5238291,1220.12277
828.4349328,1230.303409
828.3468629,1240.389507
829.9217173,1245.618166
829.4256701,1252.476518
826.9442524,1259.554966
818.9946828,1260.161677
812.0925553,1252.307614
811.7846158,1241.152758
812.0069873,1230.741789
812.4125671,1220.175358
812.8273218,1210.233641
813.2983138,1199.478144
813.7009164,1188.132659
813.8710182,1177.788976
813.9949188,1170.254743
813.2260583,1162.228629
812.7144719,1153.629472
814.4679131,1141.492714
814.5028272,1139.369672
814.4671013,1141.542095
798.7481492,1158.568039
788.8824222,1160.392223
778.2961923,1161.708944
768.5836525,1162.916983
756.2481108,1152.533583
744.8305426,1149.213335
736.3175453,1147.910883
732.6217412,1147.331709
726.0313468,1168.968573
725.5347475,1176.791918
725.5830166,1187.132291
727.7217225,1196.542365
727.8760272,1205.946002
727.6913585,1214.755338
726.5059775,1218.496322
725.9585812,1224.274734
725.0129885,1225.742815
724.0085814,1224.370014
699.4878782,1221.703883
689.2405191,1221.349407
676.7248935,1223.630426
669.4719493,1223.153789
661.5176567,1223.511634
647.6812683,1222.294521
635.7345897,1222.443792
628.3073766,1223.781186
621.6715909,1224.174766
611.8931419,1224.301407
601.1625045,1223.473858
593.4147238,1222.97243
587.4162457,1224.687147
571.3463292,1224.501005
562.0878347,1223.363308
550.0817973,1223.51306
542.4814669,1225.4309
530.0951917,1223.84098
521.3714493,1223.23833
513.1443258,1224.430901
507.0588925,1232.091763
509.4046489,1242.891108
508.2870912,1254.578535
509.1746692,1266.055512
515.705781,1277.538452
529.8902091,1277.034165
536.7816661,1278.172637
534.2652591,1303.832253
536.279163,1315.572535
536.9007279,1326.917798
540.0240194,1338.869703
543.4999511,1342.565006
546.1168119,1347.233256
555.4482429,1350.779773
567.4114536,1349.423539
575.8258606,1349.592048
577.5166641,1352.228443
588.1666384,1341.176154
596.2341539,1334.891626
607.0798435,1331.053967
613.9119401,1332.060595
621.800886,1331.590248
632.2841424,1330.965214
641.7599075,1330.08593
653.1914125,1328.119874
664.9830615,1325.106695
675.9872792,1321.478352
686.9851517,1317.960237
696.4741185,1315.859614
709.7516888,1306.701494
711.4656255,1296.617364
712.5467599,1285.935521
713.3845928,1276.175214
714.941501,1266.359988
717.9600232,1259.827657
721.5383195,1252.138904
723.7494414,1246.428928
725.2766641,1242.081372
728.2778641,1232.363302
726.8981161,1236.810886
706.8863259,1221.61327
700.6271128,1221.689931
690.1642921,1221.818065
682.0441876,1221.9175
669.150472,1223.153314
658.4045439,1223.489343
648.7117446,1223.967317
638.871186,1223.634478
631.7368793,1223.305749
620.5731795,1224.1306
614.6769853,1222.706861
597.9896941,1223.894351
590.0937314,1224.671235
579.9361089,1224.715529
571.0061391,1224.939701
559.3527669,1223.397423
547.3520755,1224.861407
535.6991098,1225.376456
524.5302938,1225.130849
515.7750314,1225.534144
509.1019043,1224.977098
509.1524885,1243.660553
509.4475381,1253.316124
507.9509424,1264.460007
509.048252,1264.761568
508.0175776,1266.363277
