method,n,max_m,min_m,mean_m,std_m
native,417,12.997856990490254,0.0035043553110821555,1.3632231743635292,1.5279809174967232
native_kalman,417,18.748476011957123,0.06976217707548094,4.103958453262025,3.465653234227342
topo,417,23.642274720967873,0.015259272425708056,3.9736788643433782,4.232757566485257
topo_kalman,417,25.289236821592322,0.24674766181827934,6.13824841220225,5.035645286898696
fuzzy,244,444.59727608146403,4.957956264707299,221.35455412283343,121.32410035857039
fuzzy_kalman,244,444.59727608146403,4.957956264707299,221.35484734407976,121.32357824829752
hmm,417,17.929668638464328,0.015259272425708056,3.095717715683317,3.148225350206478
hmm_kalman,417,21.01879206522318,0.24674766181827934,4.8886191527512395,3.9596799884076876
st,417,17.929668638464328,0.015259272425708056,2.669550701838429,2.741615616746118
st_kalman,417,24.343135601704777,0.24674766181827934,4.555621748652891,3.650713760135332
