gps_x,gps_y,gt_x,gt_y,lon,lat,matched,edge_id,lane_index,lane_pos,is_internal_edge,raw_x,raw_y,matched_x,matched_y,matched_lat,matched_lon,match_error_m,unmatched_reason
442.4691842,1436.462887,442.2319776,1434.535756,145.1316704,-37.90748381,TRUE,-1209653410,0,70.35963754,FALSE,442.4691842,1436.462887,442.5027461,1436.745457,-37.90748127,145.1316709,0.284556379,
430.4012506,1436.268973,430.3676643,1435.99611,145.1315332,-37.90748338,TRUE,1209653410,0,25.91599084,FALSE,430.4012506,1436.268973,430.3681281,1435.996053,-37.90748583,145.1315327,0.274922993,
415.104785,1440.120866,414.8324458,1437.908308,145.1313601,-37.90744592,TRUE,-1209653410,0,42.75380302,FALSE,415.104785,1440.120866,415.1036392,1440.117554,-37.90744595,145.1313601,0.003504356,
404.4142589,1439.37781,404.3915669,1439.193454,145.1312384,-37.90745068,TRUE,1209653410,0,52.08765406,FALSE,404.4142589,1439.37781,404.392499,1439.19334,-37.90745234,145.1312381,0.185749321,
395.9850461,1442.126178,395.754914,1440.256522,145.1311432,-37.9074244,TRUE,-1209653410,0,23.53262051,FALSE,395.9850461,1442.126178,396.0263954,1442.465453,-37.90742135,145.1311438,0.341785038,
375.4958763,1443.386937,375.4186672,1442.759669,145.1309105,-37.90740935,TRUE,1209653410,0,81.2786815,FALSE,375.4958763,1443.386937,375.4201215,1442.75949,-37.90741498,145.1309095,0.63200328,
363.839385,1444.867675,363.7555832,1444.170951,145.1307784,-37.9073939,TRUE,:cluster_605155297_605155316_14,0,6.033629807,TRUE,363.839385,1444.867675,364.0173162,1445.144961,-37.90739144,145.1307804,0.32946458,
352.7059294,1447.383398,352.4865019,1445.507949,145.1306523,-37.90736923,TRUE,-1147258794#0,0,4.40571685,FALSE,352.7059294,1447.383398,352.745868,1447.718023,-37.90736622,145.1306529,0.337000415,
340.6594751,1448.35672,340.6960473,1446.219859,145.1305156,-37.90735828,TRUE,:cluster_9106614563_9109971234_3,0,8.620948105,TRUE,340.6594751,1448.35672,340.6559293,1448.455296,-37.9073574,145.1305156,0.098639824,
330.0232991,1448.921344,330.8540458,1444.93376,145.1303948,-37.90735128,TRUE,-1147258794#2,0,18.84367304,FALSE,330.0232991,1448.921344,330.4003116,1447.115211,-37.90736761,145.1303987,1.845062606,
316.5734906,1441.69195,317.2628533,1440.413953,145.1302402,-37.90741397,TRUE,1147258794#2,0,15.72910295,FALSE,316.5734906,1441.69195,317.2628322,1440.413941,-37.90742561,145.1302478,1.452066648,
