gps_x,gps_y,gt_x,gt_y
182.5205476,913.6550178,181.0709702,913.8488124
180.7248878,902.7748729,179.6485474,902.7784135
181.0314062,889.8981747,179.7545015,889.8472118
179.7614997,874.1097759,179.304569,874.1361298
178.4770128,866.1653713,178.843628,866.1442264
178.8677529,852.4028305,178.3683069,852.4140408
185.7690031,833.117535,185.0792351,831.827511
200.7170259,830.5796513,201.003162,829.203238
213.6206251,829.0900828,213.8564537,826.5018637
226.3660422,826.9315027,226.082292,825.0177656
239.2908637,824.8796445,239.0267709,823.0984854
250.4410127,822.5648999,250.3157184,821.5662212
261.3573332,819.603221,261.4286906,820.1719864
272.3272402,819.9039277,272.1914622,818.8216877
283.3237689,817.156136,283.3569812,817.4208603
294.5708206,815.7153717,294.6077023,816.0093435
305.2803713,815.5376825,305.1732418,814.6837896
316.4872991,814.5747151,316.3143736,813.2714029
326.9801326,812.9475787,326.8138136,811.807504
338.3398423,811.7332669,338.11744,810.1731309
350.5821083,810.7296699,350.2604905,808.4518121
361.9218378,808.3952312,361.7017398,806.8363869
372.7158251,806.7776112,372.4451416,805.2801202
385.3227822,804.3996266,385.1189043,803.2770699
396.6316222,803.121653,396.2913205,801.247944
405.9829333,800.4300335,405.42,799.59
409.0103619,795.4063401,408.5519489,795.2690907
404.3935659,796.3727691,406.5874438,798.3535275
392.9754148,797.5923992,391.9501521,795.8214909
382.7327321,801.5956452,383.1045556,803.6429144
371.1628423,802.5232803,371.1168083,802.2697163
358.5470888,805.5203538,358.3436752,804.0786151
346.5860028,807.3497602,346.3629694,805.7689622
336.2649652,807.7142809,336.1937946,807.2171491
325.1356265,808.2738985,325.214163,808.811874
315.3874308,809.7530623,315.4421564,810.1652504
298.3471588,812.4139252,298.3353974,812.3200506
286.1174895,812.6529236,286.2652493,813.8322897
271.3041648,815.6676387,271.3089864,815.706123
259.2989387,817.7011737,259.2384544,817.2184102
246.444607,823.6927127,246.2428174,822.0751931
233.2570808,823.6989819,233.2940729,823.9484735
221.3905087,825.2800275,221.4905183,825.8345718
210.0871015,826.4139925,210.0866106,826.3967513
202.7718656,823.0651723,205.5709419,819.0065116
199.7637971,807.6942707,200.3532979,807.5745675
197.7677255,795.4688699,198.2271966,795.4043757
197.2650441,782.3833155,196.5292868,782.4742281
196.1310093,770.720468,195.1382413,770.8331039
198.5381926,760.3973765,193.9619037,760.9528433
206.4965897,753.816161,206.1368573,751.4502051
223.113888,751.6948366,222.6939304,748.9327803
229.0058979,751.5818403,228.4696003,748.054617
234.511181,747.1423585,234.5131402,747.1559408
249.3159205,745.262967,249.2947576,745.1088279
258.0677465,744.9883474,257.9235267,743.9273653
265.944776,742.1757009,266.0330403,742.8250352
282.0065001,740.8262855,281.9834734,740.6568849
286.83428,738.2785148,287.0637051,739.9663265
290.0587716,727.982122,292.0526697,727.6743082
287.1489565,717.8110655,290.5440251,717.4073523
288.1787959,707.9462955,289.4017033,707.8008775
287.9241018,693.0776585,287.6547496,693.1096877
286.1041282,679.3031664,285.9113863,679.3292798
284.4818691,667.3711116,284.3035853,667.3950745
284.9163935,656.2858912,282.8657939,656.5567252
283.9464184,649.0339867,281.9077864,649.30324
283.4028585,640.9332605,280.8469033,641.2708395
280.2674891,635.713388,280.1155507,635.7334553
282.1081738,632.9473917,279.7742538,633.2723679
292.8086317,620.4655582,292.8469274,620.8919426
298.6623078,620.0498728,298.6888592,620.2982525
302.6970354,619.7120896,302.7137023,619.8680034
312.5510877,618.8871119,312.5436145,618.8172018
319.5424719,618.240974,319.5053427,617.951813
323.5294835,617.8137988,323.4816462,617.4412433
326.9278754,617.4496895,326.8709109,617.0060513
338.6262534,616.196293,338.9508196,615.9338305
345.8802975,615.3017446,345.9895033,616.1900179
354.8797255,614.1207238,354.9979682,615.0825024
363.6137419,612.9745239,363.740756,614.0076497
370.1722122,612.1138224,370.3058139,613.2005306
383.7027489,610.3381257,383.849943,611.5353931
391.6091474,609.3342066,391.7602041,610.5628926
402.4882483,607.9984402,402.6390957,609.2254237
410.3984391,607.0271961,410.5487578,608.2581517
420.3874833,605.80069,420.5455439,606.9414261
432.3615568,604.3304261,432.4939411,605.2858543
445.0737543,602.6028394,445.2015411,603.5250872
459.1254683,600.6928887,459.2473944,601.5885712
472.8766868,598.7654706,473.0060322,599.7156559
484.7584873,597.0927234,484.8952261,598.0972214
499.8681458,594.8345249,500.0317981,596.0367327
513.5289575,592.779289,513.7187568,594.1735748
526.8795719,590.7495688,526.8656885,590.6561407
540.3967226,588.6807569,540.3915863,588.6461923
553.6025149,586.6595761,553.6059275,586.6825412
568.2650039,584.4355105,568.274991,584.5027183
581.9230015,582.3854331,581.9353177,582.4683274
602.0353522,579.409638,602.0458607,579.4803654
618.082871,577.0688559,618.0870548,577.0970147
632.9228195,574.9159474,632.9194492,574.8932637
648.2830212,572.7384706,648.2644318,572.6133539
664.001647,570.5101537,663.9674875,570.2802427
679.9349614,568.2513561,679.9898599,572.1172718
695.3315718,566.1292524,695.29,571.9
712.1816256,583.009249,712.4920248,582.644695
721.9415524,590.9549606,720.9977609,591.3118565
726.2816467,608.5926976,725.52978,608.7869759
730.5125743,622.1027676,729.067024,622.4762899
735.4029871,635.3939309,736.0502533,635.1871314
739.5314507,648.1933462,739.7104541,648.1926244
741.5581955,659.7459804,736.416157,659.6874151
740.9206198,671.4137913,738.2192184,673.375758
743.9278008,684.2524706,746.3076762,680.7210426
760.7876972,676.5072715,760.5121466,676.2929544
774.5191335,670.0097849,774.343402,669.3966897
791.1169344,662.0290637,791.3832449,665.2913678
801.7602221,664.6676477,801.6942605,664.2400343
815.2859447,662.5860856,815.223308,662.1742497
827.672594,659.9903737,827.7129742,660.2571715
839.3732142,658.9479749,839.3032356,658.4912227
853.6474069,657.189423,853.5139988,656.3135296
869.6045601,656.4155765,869.2419402,653.947541
877.0090071,653.4704876,876.9153799,652.8204993
882.8800578,654.4327002,883.6030617,652.6203704
890.466649,664.6364724,888.4043261,665.0390306
890.9195791,671.180511,889.6514398,671.4280473
893.7737588,682.7329692,891.974759,683.1072709
897.6162096,696.2133029,894.9374622,696.8085801
899.1797822,703.8550323,896.5932676,704.4117564
901.5697744,713.2001936,898.6214904,713.8347854
903.8173563,724.565789,901.0590325,725.1594936
906.4685024,734.4785329,903.19,735.03
908.7032693,747.6259153,902.58,744.72
898.480271,749.6977424,897.9719468,749.1799609
886.7105609,756.1438954,886.4763463,755.3649646
879.7532188,758.3085604,879.4870625,757.3614182
872.2421782,760.1186026,872.0484145,759.3687637
862.0762073,762.6195013,861.9354893,762.1050544
853.3216574,763.389862,853.6220987,764.4626978
845.168955,768.2360461,844.8107341,766.9155455
837.498473,769.5230725,837.3408114,768.9417755
827.8713806,773.6724414,827.3254937,771.6557888
815.9660618,775.6707325,815.7392977,774.8700591
809.8181155,777.3286818,809.6131789,776.6050787
802.8747846,779.2540613,802.6814084,778.5866013
795.1016599,781.7436347,794.9118586,781.3965207
790.3101545,784.4668214,790.0457271,784.1919364
782.776669,789.0221753,785.7858295,790.0548094
793.3967388,809.4368589,794.5041432,808.7699824
800.2845003,819.6270833,801.0512319,819.1410947
805.4369479,827.3882689,806.037415,827.0076662
808.7954472,835.198677,810.5316909,834.0981685
816.0292122,847.2270003,818.0439072,845.949997
822.5772049,856.0953716,820.4189502,856.9715699
824.7399559,865.214302,823.9031444,865.5540168
828.850454,874.3713899,827.6849977,874.8463133
828.9681083,878.5281864,829.0866496,878.4851237
833.6325484,890.9675075,833.6224824,890.9711641
838.1765216,900.0909357,837.1026682,900.4850986
844.011745,909.452055,840.8558474,910.6282608
848.5066586,919.0572531,844.4392609,920.494727
851.6565402,932.2482302,848.7071639,933.2357
856.5206012,940.5459321,851.695542,942.1613924
859.8890609,955.4278488,856.515406,956.5573697
864.3422803,967.4502074,860.5837142,968.708599
867.8318063,977.4898228,863.9579628,978.78681
866.9945742,983.6768763,865.736241,984.0981742
867.7545691,987.1500302,866.8584701,987.4500498
870.3571849,1000.11233,869.4582502,1000.24184
871.471699,1011.031408,871.0220437,1011.09619
873.2308034,1022.866075,872.7281718,1022.93849
875.7222179,1035.867199,874.6026408,1036.028038
876.9572472,1049.467435,876.5419172,1049.527101
878.3798339,1062.245585,878.3692734,1062.247102
880.4344303,1075.276387,880.2449715,1075.303604
882.0412909,1087.735292,882.0320761,1087.736617
884.2992268,1099.614785,883.7508936,1099.693608
887.112898,1112.484404,885.6357201,1112.699935
886.5541439,1125.619056,887.4956957,1125.482232
889.6955381,1138.410757,889.1246755,1138.479482
890.010864,1151.335179,890.7432041,1151.239905
