gps_x,gps_y,gt_x,gt_y,lon,lat
473.7291117,1267.162459,476.93,1284.79,145.13198726173027,-37.90901455454441
473.0268462,1272.159309,476.93,1284.79,145.1319804155997,-37.90896941496369
471.7866339,1275.069598,476.93,1284.79,145.1319669777577,-37.90894297451234
477.7709816,1282.304613,476.93,1284.79,145.1320366666742,-37.90887888002193
475.7362837,1288.214475,477.3118565,1288.028709,145.1320148791262,-37.9088252752965
478.0171809,1294.462773,478.0697274,1294.456577,145.1320422358616,-37.90876940086211
479.4925256,1302.843308,479.064506,1302.893773,145.1320609194223,-37.9086941733143
480.8408586,1312.132408,480.1834854,1312.212917,145.13207836584652,-37.908610738265224
482.7968747,1319.726018,481.1286354,1319.930327,145.1321023351348,-37.908542686277684
484.386391,1329.440501,482.3242743,1329.693048,145.1321226205554,-37.908455462799694
485.8438453,1338.927075,483.4904622,1339.215293,145.13214135250252,-37.908370268537865
488.5022528,1349.223895,484.7721613,1349.680719,145.1321739234061,-37.90827799214462
492.4236756,1357.199581,485.78,1357.91,145.1322203254982,-37.90820685303073
495.9601828,1366.703132,486.0039295,1365.263893,145.1322626991894,-37.90812188104937
496.0361873,1377.028582,485.3053289,1378.73971,145.1322659154094,-37.908028880630525
501.9220752,1387.699555,487.1106644,1390.061362,145.13233526638675,-37.90793381621671
500.604022,1395.907974,488.3544285,1397.861278,145.13232215040708,-37.90785963492252
504.0006814,1405.973356,491.1787143,1411.264962,145.13236306172985,-37.907769576543465
503.9163697,1412.936043,492.5040034,1415.852281,145.13236368909813,-37.90770683976173
497.0367919,1417.84959,493.2609351,1418.814447,145.13228659052356,-37.90766133574821
495.2116133,1426.083739,493.1417578,1425.231445,145.1322677147041,-37.90758683113957
489.4098469,1433.965083,488.1451384,1428.846025,145.13220354659035,-37.907514786968015
481.3095856,1438.204802,480.3647901,1430.075408,145.13211241621408,-37.9074751325339
466.7370764,1433.414382,466.537183,1431.647844,145.13194564224543,-37.90751565539891
454.5943196,1434.911206,454.3642938,1433.042414,145.13180792579166,-37.907499979661004
442.4691842,1436.462887,442.2319776,1434.535756,145.13167042224978,-37.90748381277975
430.4012506,1436.268973,430.3676643,1435.99611,145.1315331713487,-37.9074833808017
415.104785,1440.120866,414.8324458,1437.908308,145.13136013561203,-37.907445920111996
404.4142589,1439.37781,404.3915669,1439.193454,145.13123842010341,-37.90745068330738
395.9850461,1442.126178,395.754914,1440.256522,145.13114321041883,-37.907424403177245
375.4958763,1443.386937,375.4186672,1442.759669,145.1309105458845,-37.90740934562029
363.839385,1444.867675,363.7555832,1444.170951,145.1307783548315,-37.90739390141891
352.7059294,1447.383398,352.4865019,1445.507949,145.1306523464585,-37.90736922816335
340.6594751,1448.35672,340.6960473,1446.219859,145.13051560616665,-37.90735828414997
330.0232991,1448.921344,330.8540458,1444.93376,145.1303948068907,-37.90735127640804
316.5734906,1441.69195,317.2628533,1440.413953,145.13024024074323,-37.90741397050802
305.4285499,1433.311363,307.976275,1431.575725,145.13011161704304,-37.907487451075255
297.0604525,1420.276327,296.5019474,1421.425252,145.13001350297813,-37.90760336161484
287.927023,1419.860716,288.1086715,1418.600529,145.1299095653306,-37.90760545509013
278.1815983,1420.716308,277.7489454,1418.869619,145.1297989595295,-37.907595986587154
268.9183396,1424.977404,267.9475504,1423.445485,145.1296946125698,-37.907555927566094
261.8516459,1430.831872,261.5907685,1426.625224,145.12961560308494,-37.90750191200004
251.4426413,1421.91827,251.4359245,1421.924408,145.12949522428613,-37.90758032640258
251.7787016,1410.822969,248.9720735,1411.222061,145.12949651398677,-37.90768033613389
248.7183179,1400.988832,247.5246329,1401.161334,145.12945947532455,-37.90776837110208
248.9675343,1387.39599,245.6055873,1387.881831,145.1294592078159,-37.90789086354684
247.1318233,1375.931151,243.9451223,1376.391667,145.12943572099513,-37.907993809596185
244.6890716,1363.55454,242.143173,1363.922453,145.12940512427363,-37.90810485935731
240.9224136,1348.967768,240.0012804,1349.100883,145.1293589708858,-37.90823557942028
238.6681106,1332.424314,237.6133457,1332.57674,145.1293295658462,-37.908384199075805
236.7243891,1322.123897,236.1155017,1322.211888,145.12930511628906,-37.90847663618215
235.2652209,1309.831686,234.3699324,1309.955195,145.1292857214317,-37.90858710340184
231.7416228,1293.572242,232.1363466,1293.519982,145.12924194936596,-37.908732935138026
231.7991545,1282.376961,230.6806482,1282.525048,145.1292400490734,-37.908833795135365
229.9978889,1269.091913,228.8316693,1269.256672,145.12921653790673,-37.90895314418582
227.4317213,1257.723872,227.2068464,1257.755641,145.1291847673245,-37.90905508611837
228.2622209,1244.995171,225.4600236,1245.391055,145.1291913055021,-37.909169899237305
226.0159884,1232.237242,223.6489456,1232.571649,145.12916285522604,-37.90928441941698
222.2310967,1219.606263,221.8253425,1219.663586,145.12911693956494,-37.90939751781488
220.1764105,1201.975983,219.3431351,1202.093705,145.12908955508246,-37.90955596381664
218.1049826,1188.239862,217.4082027,1188.33771,145.12906286875648,-37.90967932733121
216.3818146,1175.192081,215.5780334,1175.304955,145.12904029908242,-37.90979655308191
215.3275147,1162.865344,213.9109307,1163.051299,145.1290254988281,-37.90990740443432
215.2371577,1149.079267,212.1303632,1149.487095,145.12902132542894,-37.91003157612402
211.4575709,1135.481743,210.311623,1135.632173,145.1289752487797,-37.91015338224462
208.4431729,1122.593368,208.5973505,1122.573129,145.1289380339624,-37.91026893852722
210.1700179,1109.071683,206.9073084,1109.489282,145.1289545822211,-37.91039105707487
208.7476217,1093.240803,204.8908256,1093.734439,145.12893479672013,-37.910533407931894
206.2121928,1081.706447,203.3978563,1082.066381,145.1289033365223,-37.910636853494346
204.0740031,1068.301282,201.6766121,1068.607891,145.1288759658718,-37.91075722353065
203.6367728,1054.885652,199.9814254,1055.353145,145.1288679327,-37.910877995400135
201.8868718,1040.448844,198.1320436,1040.933338,145.12884474129154,-37.91100772889753
197.6288879,1027.363995,196.3907349,1027.528904,145.12879334128223,-37.91112483010925
195.8074354,1015.421907,194.7513822,1015.568117,145.1287699055111,-37.911232077661744
196.6879654,1001.584737,192.8882225,1002.11081,145.12877675894052,-37.911356885128505
193.5816436,989.8197648,191.2688934,990.1289573,145.1287387543634,-37.91146230482216
191.5594067,976.3335609,189.4620673,976.6139551,145.12871268298574,-37.91158342577397
190.2846077,964.3413904,187.8645964,964.6649227,145.12869545102893,-37.911691223307834
188.5870044,950.8163628,186.0583714,951.1544168,145.12867306176307,-37.911812752682295
185.1537997,938.3974825,184.3669551,938.502676,145.12863119078943,-37.911924003753406
184.1232992,925.5835417,182.6658402,925.77839,145.1286165487521,-37.91203924812998
182.5205476,913.6550178,181.0709702,913.8488124,145.12859560215475,-37.91214641298163
180.7248878,902.7748729,179.6485474,902.7784135,145.12857270139958,-37.91224409891392
181.0314062,889.8981747,179.7545015,889.8472118,145.12857324711186,-37.91236015041537
179.7614997,874.1097759,179.304569,874.1361298,145.12855520373995,-37.91250214602923
178.4770128,866.1653713,178.843628,866.1442264,145.1285387851755,-37.91257347861732
178.8677529,852.4028305,178.3683069,852.4140408,145.12854008621645,-37.91269752520376
185.7690031,833.117535,185.0792351,831.827511,145.1286141531786,-37.912872499425305
200.7170259,830.5796513,201.003162,829.203238,145.12878353797433,-37.91289806452941
213.6206251,829.0900828,213.8564537,826.5018637,145.12892991635678,-37.91291381626294
226.3660422,826.9315027,226.082292,825.0177656,145.12907434353951,-37.9129355658163
239.2908637,824.8796445,239.0267709,823.0984854,145.12922083506078,-37.91295638625615
250.4410127,822.5648999,250.3157184,821.5662212,145.12934708802013,-37.91297925382192
261.3573332,819.603221,261.4286906,820.1719864,145.12947053473357,-37.913007906709886
272.3272402,819.9039277,272.1914622,818.8216877,145.12959533519268,-37.91300718087267
283.3237689,817.156136,283.3569812,817.4208603,145.12971974285392,-37.91303392125836
294.5708206,815.7153717,294.6077023,816.0093435,145.12984729732273,-37.91304893280257
305.2803713,815.5376825,305.1732418,814.6837896,145.12996902838645,-37.91305246901049
316.4872991,814.5747151,316.3143736,813.2714029,145.13009623571045,-37.91306316893522
326.9801326,812.9475787,326.8138136,811.807504,145.1302151720666,-37.91307972266792
338.3398423,811.7332669,338.11744,810.1731309,145.130344059349,-37.91309271410091
350.5821083,810.7296699,350.2604905,808.4518121,145.1304830297427,-37.91310396668441
361.9218378,808.3952312,361.7017398,806.8363869,145.13061143451355,-37.91312704457076
372.7158251,806.7776112,372.4451416,805.2801202,145.13073379751663,-37.91314356646606
385.3227822,804.3996266,385.1189043,803.2770699,145.1308766013995,-37.91316726526346
396.6316222,803.121653,396.2913205,801.247944,145.13100489605768,-37.91318082027007
405.9829333,800.4300335,405.42,799.59,145.13111061059553,-37.91320675602353
409.0103619,795.4063401,408.5519489,795.2690907,145.1311438884221,-37.9132525573874
404.3935659,796.3727691,406.5874438,798.3535275,145.13109161387075,-37.913243017715125
392.9754148,797.5923992,391.9501521,795.8214909,145.1309620628712,-37.91322996862659
382.7327321,801.5956452,383.1045556,803.6429144,145.13084651216585,-37.91319205629564
371.1628423,802.5232803,371.1168083,802.2697163,145.13071516939826,-37.913181609885015
358.5470888,805.5203538,358.3436752,804.0786151,145.13057240670764,-37.91315233241163
346.5860028,807.3497602,346.3629694,805.7689622,145.1304368216647,-37.91313369165923
