sim_time,phone_lat,phone_lon,gps_x,gps_y,sumo_x,sumo_y
6.0,-37.908936953764474,145.13195852233545,471.0298678026302,1275.7227934403345,-1073741824.0,-1073741824.0
9.0,-37.90893663883309,145.13195873484594,471.04785086843185,1275.7581141805276,470.966212779041,1278.3850711916227
10.0,-37.908996212454014,145.13202631973385,477.1221994385123,1269.2665977943689,470.98502960590054,1278.3855211016883
11.0,-37.909007685452806,145.13203909573076,478.2709408336086,1268.0160046564415,475.0276122900362,1278.6666962168015
12.0,-37.90897916444138,145.13197184809724,472.2952935381327,1271.0623648455366,475.8565318397973,1278.8514011164764
13.0,-37.90898297229385,145.13197722075088,472.77610986912623,1270.6492920303717,472.11954838492386,1278.412647429738
14.0,-37.90899021396496,145.13198253967118,473.2598375022644,1269.855091020465,472.59021907420106,1278.4239011592988
15.0,-37.908983293954364,145.13197238330164,472.35152969672345,1270.6050765579566,473.0546918391224,1278.4350066965753
16.0,-37.90899244440174,145.13197904528943,472.95758057548665,1269.6014344738796,472.1648249029741,1278.4137299906479
17.0,-37.90900266267179,145.13197733102842,472.82958883512765,1268.4645445635542,472.7465461508992,1278.4276389375038
18.0,-37.9089976754394,145.13197297243877,472.4353038795525,1269.01027374994,472.59146004954863,1278.4239308310018
19.0,-37.90897297993371,145.13196184775273,471.4023382955929,1271.731010120362,472.2104412947762,1278.4148206779341
20.0,-37.908949713011474,145.13198306636053,473.2160847133491,1274.3502050656825,471.2430815065958,1278.3916911190045
21.0,-37.9089630581793,145.13201748034462,476.27134397713235,1272.9299876103178,473.1183807536542,1278.436529497626
22.0,-37.90896771013556,145.13202938264712,477.3281062435126,1272.4347519986331,474.9946902727311,1278.6593603325107
23.0,-37.908966452850095,145.13203952474996,478.2169769874308,1272.5921340016648,475.8963332317885,1278.8602699049093
24.0,-37.90895297371753,145.1320422330702,478.4251139789121,1274.092616457492,475.94,1278.87
25.0,-37.908927397952944,145.13204035275587,478.2029333123937,1276.9273172328249,475.94,1278.87
26.0,-37.90887332118975,145.1320596928636,479.78302449081093,1282.9620135119185,476.33640213107907,1279.1961180652847
27.0,-37.908809809626746,145.13208822562976,482.15033572749235,1290.0598356770352,478.6192323791623,1283.2132868087517
28.0,-37.90877333805363,145.1320872818943,481.9862715677591,1294.1052391454577,477.61439004582377,1290.5946414997645
35.0,-37.90808749916586,145.13219553412273,489.97870223381324,1370.4000034844503,-1073741824.0,-1073741824.0
36.0,-37.90798126368102,145.1323142361573,500.17861126054777,1382.3975077578798,485.35802848183914,1369.7320561351255
37.0,-37.90785468592102,145.13224738885552,494.0200865708757,1396.3254507686943,486.2429396487083,1384.6196713394088
38.0,-37.90772091502854,145.1321710299817,487.0093040628126,1411.0348198199645,488.2560891421254,1397.2445700997866
39.0,-37.90766452478812,145.13219703668022,489.17041022051126,1417.3379703816026,490.47224631716057,1409.5726886459065
40.0,-37.90763660202674,145.13219513700503,488.9413128272863,1420.4330710591748,488.4067512048738,1418.2939826907377
41.0,-37.90760211971882,145.13228407239214,496.68375315889716,1424.4160563778132,489.1742155457016,1420.3944615176194
42.0,-37.90757422978219,145.13224435497474,493.1298348957207,1427.440900053829,496.9668779449806,1424.3113536267333
43.0,-37.907519259939875,145.1321805302316,487.3962155665504,1433.4281959636137,493.2632809794293,1428.5180005866193
44.0,-37.907530786276425,145.1320286976201,474.0728680069442,1431.8817062182352,487.1596875074831,1431.5120371041462
45.0,-37.907490952570214,145.13182720811287,456.26952946337406,1435.9468697058037,473.9514714781948,1430.808876732458
46.0,-37.90745761539781,145.1316854266881,443.7301007917267,1439.3963156417012,456.4646771237458,1435.9228896966902
47.0,-37.90745282313024,145.13154370680996,431.2595569634577,1439.6783678811044,443.8985043369971,1440.8226697831135
48.0,-37.90743858638684,145.13139043317403,417.7522083292715,1440.9880457874388,431.5665611364334,1442.2786496795168
49.0,-37.90742965983774,145.13124479277897,404.92777430056594,1441.7219092780724,418.0924076139274,1443.8694854732562
50.0,-37.90741092169614,145.13109733888297,391.92206879594596,1443.541299091652,404.61319416191895,1439.1661747147734
51.0,-37.9073861415069,145.13095649159666,379.4837622680352,1446.0427693650126,391.5809899793487,1440.7702820651614
52.0,-37.907379817183646,145.13082169614964,367.6185827931622,1446.506935333833,379.025013725136,1442.3157714941576
53.0,-37.907366345988905,145.13067387610883,354.5923865591176,1447.7411745321006,367.55226351180715,1445.955559913265
54.0,-37.90736252171025,145.130529092604,341.8546220860444,1447.9102773983032,354.30618950078554,1445.295045828408
55.0,-37.90738316964669,145.13039578546068,330.18030976713635,1445.384037984535,341.8479810402222,1448.4694534565347
56.0,-37.90742346889596,145.1302581223336,318.1667647374561,1440.6694936621934,330.3032779557875,1444.8173150281425
57.0,-37.90750481822838,145.13013815782452,307.80064581823535,1431.431021956727,318.08439431343004,1440.8475469020073
58.0,-37.90758364564729,145.1300237730942,297.91950531327166,1422.4822206702083,307.8532722150362,1431.3951702239062
59.0,-37.907621693729666,145.12987120794293,284.590829519555,1417.9911448601633,298.0966635379205,1421.9739798617895
