sim_time,phone_lat,phone_lon,gps_x,gps_y,keep0_sumo_x,keep0_sumo_y,keep1_sumo_x,keep1_sumo_y,,
217,-37.91461556,145.136433,898.480271,749.6977424,898.12,748.69,897.9719468,749.1799609,,
218,-37.91460795,145.1364999,886.7105609,756.1438954,886.4763463,755.3649646,886.4763463,755.3649646,,
219,-37.9145174,145.1365885,879.7532188,758.3085604,879.4870625,757.3614182,879.4870625,757.3614182,,
220,-37.91445853,145.1365952,872.2421782,760.1186026,872.0484145,759.3687637,872.0484145,759.3687637,,
221,-37.91435497,145.1366302,862.0762073,762.6195013,861.9354893,762.1050544,861.9354893,762.1050544,,
222,-37.91423423,145.136677,853.3216574,763.389862,853.0176317,763.7131298,853.6220987,764.4626978,,
223,-37.91416567,145.1366965,845.168955,768.2360461,844.8107341,766.9155455,844.8107341,766.9155455,,
224,-37.91408192,145.1367258,837.498473,769.5230725,837.3408114,768.9417755,837.3408114,768.9417755,,
225,-37.91397994,145.136754,827.8713806,773.6724414,827.3254937,771.6557888,827.3254937,771.6557888,,
226,-37.91389112,145.1367864,815.9660618,775.6707325,815.7392977,774.8700591,815.7392977,774.8700591,,
227,-37.91377309,145.1368148,809.8181155,777.3286818,809.6131789,776.6050787,809.6131789,776.6050787,,
228,-37.91375258,145.136699,802.8747846,779.2540613,802.6814084,778.5866013,802.6814084,778.5866013,,
229,-37.9136924,145.1365666,795.1016599,781.7436347,795.2154192,780.4412866,794.9118586,781.3965207,,
230,-37.91367164,145.136488,790.3101545,784.4668214,790.0457271,784.1919364,790.0457271,784.1919364,,
231,-37.91365399,145.136403,782.776669,789.0221753,782.6765355,789.0867083,785.7858295,790.0548094,,
232,-37.91362963,145.136288,793.3967388,809.4368589,794.5041432,808.7699824,794.5041432,808.7699824,,
233,-37.91362111,145.1361886,800.2845003,819.6270833,801.0512319,819.1410947,801.0512319,819.1410947,,
234,-37.91357599,145.136097,805.4369479,827.3882689,806.037415,827.0076662,806.037415,827.0076662,,
235,-37.91356301,145.1360101,808.7954472,835.198677,810.5316909,834.0981685,810.5316909,834.0981685,,
236,-37.9135239,145.1359016,816.0292122,847.2270003,818.0439072,845.949997,818.0439072,845.949997,,
237,-37.91350375,145.1357667,822.5772049,856.0953716,820.4189502,856.9715699,820.4189502,856.9715699,,
238,-37.91348771,145.1356971,824.7399559,865.214302,823.9031444,865.5540168,823.9031444,865.5540168,,
239,-37.91346911,145.1356186,828.850454,874.3713899,827.6849977,874.8463133,827.6849977,874.8463133,,
240,-37.91344529,145.1355308,828.9681083,878.5281864,829.0866496,878.4851237,829.0866496,878.4851237,,
