gt_x,gt_y
819.0113796,1260.0986
817.9651341,1252.36123
818.0669441,1241.210116
818.1620071,1230.797984
818.2585046,1220.228731
818.3492997,1210.284057
818.4475287,1199.525156
818.5511382,1188.176941
818.6455826,1177.832567
818.7143749,1170.297832
812.5449217,1157.05785
813.0609996,1156.990036
813.9155436,1157.020434
799.7982714,1143.023531
813.9164872,1157.020468
801.5010893,1156.77121
800.58,1155.36
776.0260217,1143.923575
766.3174625,1145.162801
755.9,1146.45
744.8861091,1146.286286
736.3514621,1146.124266
732.7977029,1146.018764
725.3958995,1168.967131
725.3781456,1176.791562
725.3546832,1187.131773
725.3333424,1196.536946
725.3025015,1205.939414
725.28,1214.73
724.747526,1217.445293
727.1350569,1223.514927
727.9122112,1225.382557
725.4163945,1221.713015
699.4718489,1220.620052
689.231972,1220.771495
676.6808189,1220.971257
669.4377645,1221.091308
661.479727,1221.223209
647.666953,1221.448149
635.7211671,1221.650196
628.2734643,1221.776165
621.6329214,1221.888481
611.8551276,1222.053859
601.1415519,1222.235065
593.4044656,1222.365928
587.3786769,1222.467906
571.3209014,1222.707262
562.0803917,1222.838254
550.0746439,1223.008446
542.4486591,1223.11655
530.0874063,1223.291782
521.3739581,1223.415302
513.0866,1224.060888
508.3542546,1232.199983
508.9215485,1242.919297
509.5974049,1254.502078
510.2678271,1265.991726
515.9707484,1277.244538
529.8942374,1277.855375
531.1330572,1278.924608
534.4456897,1303.808233
536.0164681,1315.607507
537.5014935,1326.844398
539.8687462,1338.935543
542.8702765,1343.267768
546.8544496,1346.047361
555.5769266,1348.006417
567.4417827,1348.445096
575.5980931,1350.598463
576.9988867,1350.356478
586.8998709,1340.028893
595.2545432,1333.181134
607.1041432,1329.917665
613.8916655,1330.058667
621.7845654,1329.978731
632.273076,1329.872508
641.7327295,1329.698025
652.9590954,1327.349523
664.6006794,1323.838736
675.6905274,1320.494339
686.7167492,1317.112809
695.7424255,1314.103874
709.1198669,1306.364074
712.4024921,1296.633277
712.459598,1285.935811
711.9704438,1276.275317
712.6818887,1265.315835
716.0612726,1258.812588
720.0531771,1251.345249
722.9179115,1245.984561
725.0643857,1241.967931
727.9010508,1232.306834
727.0232343,1236.845144
706.8700185,1220.510637
700.6110407,1220.603204
690.1486133,1220.757939
682.0270353,1220.882646
669.1163834,1221.096635
658.3691025,1221.274254
648.6688496,1221.431203
638.8367332,1221.597501
631.7100253,1221.71804
620.5355709,1221.907041
614.6651367,1222.006332
597.9625389,1222.288834
590.0556648,1222.422589
579.9059148,1222.585562
570.974562,1222.712172
559.3453898,1222.877025
547.3263605,1223.047405
535.6684363,1223.212666
524.5053452,1223.370912
515.4867702,1223.686437
510.18,1225.82
508.9654378,1243.671468
509.5279307,1253.311433
510.1708928,1264.330472
510.1921526,1264.694821
510.281798,1266.231159
