sim_time,phone_lat,phone_lon,gps_x,gps_y,keep0_sumo_x,keep0_sumo_y,keep1_sumo_x,keep1_sumo_y,,distance
88,-37.90882317,145.1310247,388.6801898,1286.702766,388.7413063,1287.131327,377.0578972,1288.759481,,0.432896936
89,-37.90882057,145.1311192,396.9842053,1287.157881,396.8161974,1285.979777,388.7413063,1287.131327,,1.190023399
90,-37.90884932,145.131239,407.577486,1284.178667,407.6147277,1284.439813,396.8161974,1285.979777,,0.26378813
91,-37.9088486,145.1313464,417.0163783,1284.448515,416.8277694,1283.125953,407.6147277,1284.439813,,1.335942948
92,-37.908874,145.1314509,426.2639483,1281.813896,426.2592488,1281.780942,416.8277694,1283.125953,,0.033287406
93,-37.90888976,145.1315549,435.4437341,1280.248077,435.4679932,1281.279666,426.2592488,1281.780942,,1.031874202
94,-37.9088986,145.1316727,445.8189096,1279.47514,445.8556008,1281.035389,435.4679932,1281.279666,,1.56068036
95,-37.9088996,145.1317492,452.5424058,1279.499446,452.5748096,1280.877378,445.8556008,1281.035389,,1.378312955
96,-37.90890334,145.1318389,460.4422217,1279.241611,460.6167963,1278.809769,452.5748096,1280.877378,,0.465793735
97,-37.90892074,145.1319217,467.759766,1277.456593,467.6914987,1280.307754,455.4390003,1280.810024,,2.851978168
98,-37.9089296,145.1319919,473.9462749,1276.597291,473.9018508,1278.455262,476.93,1284.79,,1.858502014
99,-37.90893662,145.1320474,478.8467883,1275.916609,476.2244946,1279.104052,476.93,1284.79,,4.127495261
100,-37.90894379,145.1320758,481.3569964,1275.170759,477.35,1280.03,476.93,1284.79,,6.298273037
