sim_time,phone_lat,phone_lon,gps_x,gps_y,sumo_x,sumo_y
1.0,-37.908927030071304,145.1321353466615,486.5537281160359,1277.1354855438694,-1073741824.0,-1073741824.0
2.0,-37.908931004380406,145.13214135739545,487.0910124461516,1276.7050651023164,476.93,1284.79
3.0,-37.90893315566783,145.13213784010827,486.78656508616405,1276.4601515438408,476.93,1284.79
4.0,-37.908913861088955,145.13213040790222,486.0902452800656,1278.5880807563663,476.93,1284.79
5.0,-37.908877532674666,145.13211080762878,484.28626664413605,1282.5847329162061,476.93,1284.79
6.0,-37.90887357445503,145.1321089524888,484.1143666554708,1283.0206884592772,476.93,1284.79
7.0,-37.90879074598619,145.1320814589655,481.51304007077124,1292.1633109292015,476.93,1284.79
8.0,-37.90875864615544,145.13207639482508,480.99644015182275,1295.7163454936817,477.8502598775032,1292.5951671091939
9.0,-37.90867346345674,145.13209977890656,482.8629121668637,1305.2098331833258,478.25634999168915,1296.0394128924747
10.0,-37.90861908850401,145.13212311980902,484.79409144673264,1311.2846644744277,479.38862740361196,1305.6227362961063
11.0,-37.90856176068179,145.13211603604165,484.04383885260904,1317.6335638314486,480.13961435959214,1311.854697550526
12.0,-37.90852099367634,145.1321414627907,486.1886614882387,1322.2020640205592,480.89458640713735,1318.0192522826524
13.0,-37.90841940419019,145.13217718637415,489.10353341541486,1333.5378647176549,481.47751651705045,1322.7790372034956
14.0,-37.908364894313166,145.13218428761155,489.6066662375815,1339.599058858119,482.88836882699917,1334.2990349463323
15.0,-37.908312233774495,145.13221402854714,492.10435070376843,1345.4949218146503,483.6271478935753,1340.3313695283418
16.0,-37.908234991251454,145.13221430407754,491.95684238360263,1354.06661843881,484.3754520166089,1346.4414788200907
17.0,-37.908212472859816,145.13220136424832,490.76913101790706,1356.542576319538,485.40753384249365,1354.868711224769
18.0,-37.908133852543926,145.13221010306094,491.3626360716298,1365.2820678399876,485.6887320419951,1357.1647719823006
19.0,-37.908064264033115,145.13223636335923,493.51668386964593,1373.050209804438,486.1110421857863,1364.522917031238
20.0,-37.908004533283595,145.13221507531802,491.5122758508078,1379.6407289905474,485.05518441846243,1371.827047029244
21.0,-37.90794935727701,145.132246467517,494.1495601097704,1385.818627963774,485.5993524435756,1380.58359585925
22.0,-37.907870811414526,145.13224033830568,493.4360626868438,1394.5236671371385,486.6254399672298,1387.0184141118343
25.0,-37.907677555841225,145.13220183638578,489.62136643897975,1415.900435416028,488.76613967926806,1400.443208062421
26.0,-37.907624515941976,145.13220870615382,490.10742677841336,1421.7981048999354,492.3388634568879,1415.2060247092386
27.0,-37.90758269453246,145.13215657488885,485.43112054117955,1426.346982801333,493.6508123806399,1421.4911974855693
28.0,-37.90756053198129,145.1320919237383,479.6977827459341,1428.692359204404,486.16914187446423,1429.3342120074853
29.0,-37.907590535558704,145.1320484597401,475.9431837593438,1425.2864462696016,479.86526722489106,1430.133461918946
30.0,-37.90761917416118,145.1320032604755,472.03299013641663,1422.02893879544,476.53499711594077,1430.5165366648935
31.0,-37.90761342374834,145.1319415359667,466.5934518838767,1422.5582902589813,473.03818207819063,1430.9122204272148
32.0,-37.9076076252212,145.1318662819869,459.96430915989913,1423.0691404305398,467.60827027626374,1431.526644669751
33.0,-37.907568261474836,145.13179963282795,454.0170514290221,1427.319708256051,461.00586038002007,1432.2737434896574
34.0,-37.90758538974829,145.13173471967406,448.34804365527816,1425.3046978814527,454.7161171765098,1432.9991084259314
35.0,-37.907613740077856,145.13167725790325,443.3591128482949,1422.0575583511963,449.37603854002884,1433.6564077800872
36.0,-37.907528392787036,145.13163620207823,439.55972145835403,1431.4557723747566,444.8552838416063,1434.2128582269534
37.0,-37.90754239392981,145.13153644614263,430.8204160997411,1429.726356108673,439.9730544370275,1434.813801855863
38.0,-37.90755686357599,145.13145949096707,424.08677588013234,1427.9851232757792,431.5738724089675,1435.8476399879019
39.0,-37.907554285539504,145.13138636637095,417.6520007500076,1428.1423303829506,425.1518546835813,1436.6381130109837
40.0,-37.90755954492144,145.13132739115787,412.4786575825419,1427.4547900948673,418.7940540294402,1437.4206816861467
41.0,-37.90753744653128,145.13127290658227,407.6392734890105,1429.8109142025933,413.78128546364013,1438.0376931133426
42.0,-37.90751360339916,145.1311809715421,399.50339623127365,1432.2946353964508,408.72844466839445,1438.6596369492775
43.0,-37.90752466535981,145.13110832912824,393.14135234372225,1430.939111802727,400.41283804956845,1439.6831879551798
44.0,-37.90750871439023,145.13102407459925,385.6982896499685,1432.5606034379452,394.3101031544688,1440.434361107899
45.0,-37.90749887704259,145.13096717315412,380.6736827445566,1433.5519060688093,386.78151730019647,1441.3610393380495
46.0,-37.90749647876781,145.13088751477954,373.6648568060482,1433.6776145361364,381.71170392195415,1441.9850722945014
47.0,-37.90746042638543,145.13081578547522,367.27826934226323,1437.5517206909135,374.79223913612316,1442.8367750585319
48.0,-37.907478690008816,145.130771111589,363.39121668052394,1435.446345335804,368.01283788973876,1443.658889428647
49.0,-37.907449866248875,145.13072518409345,359.2891792852897,1438.56380677782,364.43084069638945,1444.0897310491057
50.0,-37.90742972192524,145.13068185145409,355.43458871077746,1440.7227277411148,360.01768200931707,1444.6205445415367
51.0,-37.907395778171505,145.1306257806627,350.4293625464197,1444.3904424924403,355.94708767192606,1445.1030607423845
52.0,-37.907438489453895,145.13055068867143,343.9223773285048,1439.518596900627,350.5861250983331,1445.730293363495
53.0,-37.907486199651665,145.13050184249914,339.73403249203693,1434.1383165521547,343.806774605965,1446.273098831887
54.0,-37.90750759869308,145.1304189882871,332.4971867064596,1431.6176872299984,338.68262421453875,1446.0834828159495
55.0,-37.90757846758124,145.13040395725534,331.33338469744194,1423.7272218642756,329.66324957930556,1444.678440946453
56.0,-37.90760019383439,145.13039328597435,330.44352666835766,1421.297553414479,326.0717656430422,1443.7947922112855
57.0,-37.90768340297714,145.13040571935335,331.72183097573,1412.086178000085,323.3882943881945,1442.9831094756112
