sim_time,phone_lat,phone_lon,gps_x,gps_y,sumo_x,sumo_y
15.0,-37.908696118987876,145.1320356475139,477.27500551822595,1302.5828852476552,-1073741824.0,-1073741824.0
17.0,-37.90870555658044,145.13201743114445,475.69445040397113,1301.503551418893,479.0038182905593,1302.3790514273364
18.0,-37.90871906805377,145.13200697422374,474.8051463805605,1299.9858293840662,478.85663480849183,1301.130717449801
19.0,-37.90871906805377,145.13200697422374,474.8051463805605,1299.9858293840662,478.66794987385947,1299.5303896708824
20.0,-37.90871906805377,145.13200697422374,474.8051463805605,1299.9858293840662,478.66794987385947,1299.5303896708824
28.0,-37.90865237284317,145.13200753772793,474.70638780179434,1307.3876522714272,478.66794987385947,1299.5303896708824
29.0,-37.908596599566344,145.13204064371473,477.49297679937445,1313.6348537188023,479.53024632804676,1306.8143583888505
30.0,-37.908578980820565,145.13201086087383,474.83536038774764,1315.5374481482431,480.31529819517635,1313.2892044617822
31.0,-37.90855109050009,145.13202661697503,476.15858677832875,1318.6600535977632,480.5055932040717,1314.8430156279042
32.0,-37.908521033623536,145.13203458328846,476.79213560570497,1322.0093473289162,480.90192063182167,1318.0791382474786
35.0,-37.908443805878456,145.1320917551485,481.6468502638745,1330.6796371610835,481.6831031621529,1324.457708791469
36.0,-37.9084285582903,145.13209425905413,481.833086368395,1332.3759957896546,482.4333058115538,1330.5833200739726
37.0,-37.908406608896016,145.13210364872765,482.60980430123163,1334.8281500907615,482.64074062915444,1332.27708249949
38.0,-37.90839056602325,145.13211111195707,483.23028629785404,1336.6214938526973,482.9480954924306,1334.7867196218333
39.0,-37.90833892133407,145.1321384544073,485.5193536754232,1342.4004101259634,483.17364949129717,1336.62843015348
40.0,-37.908323975906505,145.13214442445746,486.0109995796811,1344.0693453038111,483.9047600375402,1342.5981491546063
41.0,-37.908294944694944,145.1321606069977,487.3691906334134,1347.3192986333743,484.11339904747615,1344.3017441422471
42.0,-37.908275247826296,145.13216386634244,487.6119530315045,1349.5107019068673,484.525608960998,1347.6675516331243
43.0,-37.90825136505754,145.13215366669186,486.66211883025244,1352.1428842600435,484.7936112059176,1349.8558637865497
44.0,-37.908239892980504,145.13217264827747,488.30543857696466,1353.4493199298158,485.0971746259442,1352.3345427303727
45.0,-37.90821870516392,145.13215895078554,487.054072151368,1355.7762954663485,485.27909295542497,1353.8199560016421
46.0,-37.908165382925255,145.1321699485615,487.9024234552635,1361.7125673396513,485.5413742886795,1355.961555335445
47.0,-37.908152332799084,145.13217578354798,488.3864105916582,1363.170952363871,486.08650524965907,1361.853700878947
48.0,-37.90814360599565,145.13221587503045,491.8917824573582,1364.2099442183971,486.2020766258347,1363.3407192524066
49.0,-37.908119537319706,145.13222307711354,492.4714660634636,1366.893409723416,488.25,1363.76
50.0,-37.90809256078738,145.13222749861606,492.80022114352323,1369.8946472285315,487.8908420389166,1366.2263695428828
51.0,-37.908082993089984,145.13223461348005,493.40447678789496,1370.96885894984,487.46969768999696,1369.1184051035018
52.0,-37.90806161161094,145.13222942647704,492.9009074033238,1373.3323163008317,487.32906466351125,1370.0841445575336
53.0,-37.90804424153395,145.132208564334,491.02812289621215,1375.2230366365984,486.9815830280971,1372.4703317374347
54.0,-37.908019740785676,145.13219583149214,489.85419928317424,1377.9193310895935,486.873741715769,1375.8862472645078
55.0,-37.90800033585349,145.13218887611933,489.1995507039828,1380.0603458089754,487.26430995580057,1378.3327842736944
56.0,-37.90798383741298,145.13218233100196,488.58743289724225,1381.8795645264909,487.5813406660494,1380.3186788912644
57.0,-37.90795859226531,145.132179692243,488.2993093232508,1384.6762421829626,487.84933312533593,1381.9973957008401
58.0,-37.90791214783433,145.13205783607478,477.48262967629125,1389.6152821816504,488.27754228156715,1384.6797171008277
59.0,-37.90789457960894,145.132054737689,477.171161799517,1391.5592807158828,472.7334448758178,1390.2371121478236
60.0,-37.90788203310827,145.13205591180085,477.24649143230636,1392.9535706453025,472.97844060496084,1392.1082506524338
61.0,-37.907885382587736,145.13205821831045,477.4567239427706,1392.5859592016786,473.1591932788511,1393.4887371168725
62.0,-37.90788860078426,145.1320633470165,477.91478806966916,1392.2378873098642,473.11541511512314,1393.1543843177478
63.0,-37.90788860830976,145.1320598372931,477.606234866078,1392.2308692969382,473.0783293676997,1392.8711444007956
64.0,-37.907885532540945,145.13206369485818,477.9385477375472,1392.5789674837142,473.07222536539155,1392.8245254911885
65.0,-37.90789671532867,145.13205633538632,477.3163777688751,1391.325105343014,473.1226361202582,1393.2095342617797
66.0,-37.90790368686197,145.13202638393776,474.6985900468426,1390.4987447457388,472.95074345143655,1391.896715493806
67.0,-37.90790886664323,145.13202102497593,474.23895501042716,1389.9145298162475,472.80024617224535,1390.7473025839615
68.0,-37.90790886664323,145.13202102497593,474.23895501042716,1389.9145298162475,472.7172947892035,1390.113766940858
69.0,-37.90790886664323,145.13202102497593,474.23895501042716,1389.9145298162475,472.7172947892035,1390.113766940858
70.0,-37.90790886664323,145.13202102497593,474.23895501042716,1389.9145298162475,472.7172947892035,1390.113766940858
71.0,-37.90797399342714,145.1320480836556,476.76272281771526,1382.7354098530486,472.7172947892035,1390.113766940858
72.0,-37.907980787700424,145.13205199769823,477.1219463774469,1381.988379069604,471.83568444992954,1383.3805269058255
73.0,-37.90799259074524,145.13206030897814,477.87890505907126,1380.693296761252,471.74557591455186,1382.6923289901763
74.0,-37.9080025169863,145.13207653369466,479.3274276574957,1379.6204145178199,471.5916219860849,1381.5165161525476
85.0,-37.9076738522683,145.1320185001001,473.4944176127319,1415.98843453452,485.70216095307904,1381.2283304050106
86.0,-37.90764994343155,145.13202644303072,474.1395900595817,1418.655469816178,476.9277656096504,1411.6847641667391
87.0,-37.90762855888159,145.13199149233384,471.01921503827907,1420.966831855476,478.62221101389866,1413.0365453761265
