sim_time,phone_lat,phone_lon,gps_x,gps_y,keep0_sumo_x,keep0_sumo_y,keep1_sumo_x,keep1_sumo_y
1.0,-37.90896108778622,145.1320931389553,482.9186644880101,1273.2819187929854,-1073741824.0,-1073741824.0,-1073741824.0,-1073741824.0
7.0,-37.908960938768494,145.1320933637622,482.9380975726526,1273.29885056708,477.35,1280.03,476.93,1284.79
10.0,-37.908960806503565,145.13209356329594,482.95534595509525,1273.3138788463548,477.35,1280.03,476.93,1284.79
13.0,-37.908960702233074,145.1320937205975,482.9689436435001,1273.3257263246924,477.35,1280.03,476.93,1284.79
15.0,-37.908986289756974,145.13203017600657,477.43916886131046,1270.3744629761204,477.35,1280.03,476.93,1284.79
18.0,-37.90898400763634,145.13203586683338,477.93441651645117,1270.6377239348367,475.56477219969054,1278.7863894575396,476.93,1284.79
19.0,-37.90898825616217,145.13203274493696,477.6693946266314,1270.160786634311,475.94,1278.87,476.93,1284.79
20.0,-37.90906949304647,145.1321435436286,487.5911372685805,1261.3415291914716,475.7387471888032,1278.8251556235919,476.93,1284.79
21.0,-37.909066796984,145.13199947332456,474.9188869014615,1261.386893125251,475.94,1278.87,476.93,1284.79
22.0,-37.90905505762499,145.13198582774265,473.69310206349473,1262.6655104486272,474.1,1278.46,476.93,1284.79
23.0,-37.909053415102306,145.13199831142649,474.78698033007095,1262.8697659717873,473.31590429812064,1278.441252282796,476.93,1284.79
24.0,-37.90903619120062,145.13199645884526,474.58580772636924,1264.7777515556663,458.26666455703327,1265.2494712983444,476.93,1284.79
25.0,-37.90902843185911,145.13199341181092,474.3006673306227,1265.6333983885124,474.1,1278.46,476.93,1284.79
26.0,-37.908964798189466,145.13205379795207,479.4681593187852,1272.8008883278817,473.99404404018424,1278.457466594491,476.93,1284.79
27.0,-37.908894310503854,145.13205722760952,479.61295559071004,1280.6285924557596,475.94,1278.87,476.93,1284.79
28.0,-37.90883046900298,145.1320563285673,479.39196215593256,1287.7111771861091,478.0832606472533,1281.4298612356654,476.93,1284.79
29.0,-37.90880777402855,145.13207073512496,480.6080882609822,1290.2549033993855,477.3034513626742,1287.9574208167553,477.3034513626742,1287.9574208167553
33.0,-37.90876513146325,145.1320656453359,480.0657913699979,1294.9777666730806,478.73692645840805,1300.115413295387,478.73692645840805,1300.115413295387
34.0,-37.908285476884515,145.1321933525358,490.2270663958043,1348.4275767877698,478.1577027129657,1295.202737824783,478.1577027129657,1295.202737824783
37.0,-37.90800270579285,145.1321471508975,485.5364028070471,1379.7238640347496,485.85496915497674,1358.874603127368,485.85496915497674,1358.874603127368
38.0,-37.907906256831694,145.13215343903914,485.8748071724549,1390.437393031083,485.4640992231461,1379.7353934676635,485.4640992231461,1379.7353934676635
39.0,-37.90777503030755,145.13218022428347,487.93797060410725,1405.0461182864383,487.13849393282294,1390.2358872281648,487.13849393282294,1390.2358872281648
40.0,-37.90770774055399,145.13220972426623,490.3819683587644,1412.5648858090863,489.4613778202841,1404.803197806542,489.4613778202841,1404.803197806542
41.0,-37.907626151256906,145.1322602575007,494.6434003204922,1421.707449737005,491.5194666889028,1412.1771022874482,491.5194666889028,1412.1771022874482
42.0,-37.90760775731495,145.1322836265136,496.65708534471923,1423.7896955879405,493.67679438285387,1421.791171511131,493.67679438285387,1421.791171511131
43.0,-37.90760551174569,145.13226859215766,495.3302886316087,1424.012392655015,496.75990169073265,1423.7516729392262,493.83,1423.56
44.0,-37.90758129797526,145.13226922969028,495.33250802505063,1426.7003947189078,495.166532385569,1424.060639118902,493.83,1423.56
45.0,-37.90756059235366,145.13225324493632,493.8811122790212,1428.9698356958106,495.22492951664026,1426.6559601176077,492.9421772830694,1425.7161408839743
46.0,-37.90753036670959,145.13217446351726,486.88752959354315,1432.1850473545492,493.6353585576786,1428.6308650456829,492.2651935776859,1426.7190917903795
47.0,-37.90751356324739,145.13208099397357,478.6324181827367,1433.8849868150428,486.80978560827765,1431.5552285215351,486.1823965282389,1429.3309373283175
48.0,-37.907497060598125,145.13197149126648,468.96835116279544,1435.5232922276482,478.2003316310551,1433.930054512741,478.2186579746426,1430.3248302992433
49.0,-37.90750617246284,145.1318199736475,455.6673267852166,1434.2452492071316,469.1375211633532,1434.965820101458,468.50463146169227,1431.425216495135
50.0,-37.907497442414744,145.13168647003616,443.91040143283317,1434.978752036579,455.5020347088275,1432.9023714447785,455.5020347088275,1432.9023714447785
51.0,-37.907476945543344,145.13147025197253,424.855123984511,1436.8721854547039,443.8316380245542,1434.3388566963083,443.8316380245542,1434.3388566963083
52.0,-37.9074442934774,145.13131984929305,411.55922883417225,1440.230367353186,424.831171050012,1436.6775853033566,424.831171050012,1436.6775853033566
53.0,-37.907444760706355,145.1311757619901,398.892237754073,1439.9245784925297,411.3265282024271,1438.3398441624643,411.3265282024271,1438.3398441624643
54.0,-37.90741648170212,145.13102047886795,385.1769690189976,1442.7888598339632,398.88566317029347,1439.8711647866394,398.88566317029347,1439.8711647866394
55.0,-37.90740157303264,145.13088199363824,372.96829360874835,1444.1990910964087,385.0277915900109,1441.576901847788,385.0277915900109,1441.576901847788
56.0,-37.90738884956754,145.1307068439577,357.5409658232238,1445.3021868998185,372.8303330562486,1443.0782620640614,372.8303330562486,1443.0782620640614
57.0,-37.907370250185004,145.13055114656015,343.81078667612746,1447.0915707563981,357.49645872249283,1444.9217843294682,357.49645872249283,1444.9217843294682
58.0,-37.90739403895203,145.1304107891994,331.5236151610734,1444.2043810077012,343.9991670736163,1446.0947244863526,343.82478947615397,1446.2734071548487
59.0,-37.90744295181573,145.13027210940524,319.4398568520555,1438.5322366058826,331.3501298730489,1445.0371103902185,331.3501298730489,1445.0371103902185
60.0,-37.907520565117856,145.13014775281135,308.67927621351555,1429.7005895860493,318.31862634906497,1440.955906582044,318.31862634906497,1440.955906582044
61.0,-37.907620597403074,145.13007403628646,302.4208412900334,1418.470512829721,307.32,1430.51,307.32,1430.51
62.0,-37.90764824385776,145.1298975533256,286.9661885740934,1415.0914767449722,303.5237154000033,1421.1570010463145,299.9207114249349,1423.1502430900337
63.0,-37.907626675252516,145.1297439518442,273.41369842994027,1417.2139178868383,286.4939295635267,1418.3677736307786,286.4939295635267,1418.3677736307786
64.0,-37.9075528947738,145.1296366963447,263.81965002563084,1425.211778161116,274.53217456036145,1419.8982605998494,274.53217456036145,1419.8982605998494
65.0,-37.90757148380549,145.12950480757115,252.26550615747692,1422.9163940884173,264.15510292793874,1425.7942128706177,264.15510292793874,1425.7942128706177
66.0,-37.90768737276232,145.12946255085032,248.80836829449981,1409.982235532254,252.30723424686641,1422.8778272179209,252.30723424686641,1422.8778272179209
67.0,-37.90780165409031,145.12945653909264,248.53427424590336,1397.290406475775,248.79602412954102,1409.983990829699,248.79602412954102,1409.983990829699
68.0,-37.90792617039908,145.1294343645977,246.86196643975563,1383.434339568019,246.9973349458855,1397.5125124308795,246.9973349458855,1397.5125124308795
69.0,-37.908026554484685,145.12938211234555,242.4915427105152,1372.2030407320708,245.00172078697304,1383.7031671251227,245.00172078697304,1383.7031671251227
70.0,-37.908155540429775,145.12935929306042,240.7725168793695,1357.8498609429225,243.32246346458862,1372.0829628293861,243.32246346458862,1372.0829628293861
71.0,-37.908283376426304,145.12929221325817,235.15963527781423,1343.5461971666664,241.25552447964688,1357.7800606167932,241.25552447964688,1357.7800606167932
72.0,-37.90838129827426,145.12931481374886,237.3646758404211,1332.720174905844,239.11594021877966,1342.9744641856776,239.11594021877966,1342.9744641856776
73.0,-37.908485611460826,145.12929526855075,235.87858232535655,1321.1105812285095,237.62856288246448,1332.6820400988859,237.62856288246448,1332.6820400988859
74.0,-37.908547452412165,145.12928282199505,234.92201415169984,1314.2264419011772,235.95475900295153,1321.0995727952334,235.95475900295153,1321.0995727952334
75.0,-37.90858380699456,145.12940090406818,245.38448408484692,1310.4006814844906,234.9607021343462,1314.2208510288917,234.9607021343462,1314.2208510288917
76.0,-37.908595174654536,145.12952515424388,256.3335957666859,1309.3584623094648,245.41636325927863,1310.4478626626496,244.9721003297426,1306.9847415535453
77.0,-37.908628861530325,145.12965970304722,268.23782660916913,1305.8577435482293,255.8879432973648,1305.666944284238,255.8879432973648,1305.666944284238
78.0,-37.90865557833061,145.12982654519985,282.9656869270839,1303.1874010665342,267.1330144909161,1305.379699843216,268.0219858619923,1304.1547966361816
79.0,-37.9086856992456,145.12995272993433,294.1266083569499,1300.0675896350294,282.8324831564418,1302.1888385341686,282.8324831564418,1302.1888385341686
80.0,-37.90869873609025,145.13008852165132,306.0941172473831,1298.8604389810935,294.16220907411156,1300.1935355683845,290.91900878409615,1301.1101322237632
81.0,-37.90872848090213,145.13023010777445,318.6082386820344,1295.809489783831,306.1261317905154,1297.370307518937,290.91900878409615,1301.1101322237632
82.0,-37.908743900390064,145.13035683113077,329.7837700668024,1294.3219237104058,318.74710281924564,1297.08740288967,330.91,1295.67
83.0,-37.90876322535307,145.13047390035268,340.1192197323544,1292.3839497407898,330.0056377804899,1295.8052678533456,330.91,1295.67
84.0,-37.908776870468586,145.13058325896836,349.76412716379855,1291.0626326566562,340.39882998920365,1294.2422825247727,340.39882998920365,1294.2422825247727
85.0,-37.908782033675976,145.1306858122458,358.7918489550939,1290.670501335524,350.024627285539,1292.7939565426852,350.024627285539,1292.7939565426852
86.0,-37.90879457940083,145.13077397821192,366.5710987151833,1289.4337961543351,358.9101891647005,1291.4570085747557,358.9101891647005,1291.4570085747557
87.0,-37.90879400189074,145.130894779686,377.1903806803166,1289.710832575336,366.6991814503018,1290.2850537169686,366.6991814503018,1290.2850537169686
88.0,-37.90882317444912,145.1310247299756,388.680189810344,1286.702766334638,377.05789716220823,1288.75948108098,377.05789716220823,1288.75948108098
89.0,-37.90882057438242,145.13111924813904,396.984205334913,1287.157881368883,388.7413062536626,1287.1313267603473,388.7413062536626,1287.1313267603473
90.0,-37.90884932489402,145.13123901185756,407.5774859758094,1284.1786668254063,396.8161974166598,1285.979777064059,396.8161974166598,1285.979777064059
91.0,-37.90884859851061,145.13134639107955,417.01637827715604,1284.4485153825954,407.6147276557336,1284.439812751704,407.6147276557336,1284.439812751704
92.0,-37.90887400161062,145.13145093309254,426.263948345324,1281.8138962704688,416.82776936524294,1283.1259528905218,416.82776936524294,1283.1259528905218
93.0,-37.90888976437816,145.13155494805707,435.44373414327856,1280.2480771997944,426.2592487676565,1281.7809419148734,426.2592487676565,1281.7809419148734
94.0,-37.908898600412186,145.1316727350254,445.81890964577906,1279.475139586255,435.46799324104273,1281.2796664523382,435.46799324104273,1281.2796664523382
95.0,-37.908899595312526,145.1317491850135,452.54240576492157,1279.499446076341,445.85560084153934,1281.035389005966,445.85560084153934,1281.035389005966
96.0,-37.90890334412075,145.1318389451793,460.44222174899187,1279.2416109330952,452.57480955089216,1280.8773784988032,452.57480955089216,1280.8773784988032
97.0,-37.90892074497485,145.13192173711565,467.7597659897292,1277.4565929761156,460.6167962672284,1278.8097687037732,455.43900028596215,1280.8100235095126
98.0,-37.90892960253849,145.13199188040872,473.9462748906226,1276.597290753387,467.69149874926734,1280.3077541954049,476.93,1284.79
99.0,-37.908936618873504,145.1320474429616,478.846788345254,1275.9166090674698,473.9018508181305,1278.4552622558485,476.93,1284.79
100.0,-37.908943790777656,145.1320758134895,481.35699640063103,1275.1707588657737,476.2244946155782,1279.1040523078516,476.93,1284.79
101.0,-37.90900169323871,145.13203891602154,478.241817399743,1268.6806137785316,477.35,1280.03,476.93,1284.79
102.0,-37.90900841079036,145.1320176270603,476.3850870184833,1267.8976960219443,475.94,1278.87,476.93,1284.79
103.0,-37.90899239855825,145.132004982257,475.2377861987334,1269.6522158179432,474.10097553580727,1278.4602173748267,476.93,1284.79
104.0,-37.90897961213628,145.13203553067703,477.8950890058186,1271.1248781559989,474.10097553580727,1278.4602173748267,476.93,1284.79
105.0,-37.908980208400074,145.13202935087497,477.3531033655163,1271.0478267772123,475.94,1278.87,476.93,1284.79
