gps_x,gps_y,gt_x,gt_y,lon,lat,method,kalman,matched,edge_id,lane_index,lane_pos,is_internal_edge,raw_x,raw_y,filt_x,filt_y,matched_x,matched_y,matched_lat,matched_lon,match_error_raw_m,match_error_filt_m,raw_dist,score,components,window_len,match_ms,phone_speed_mps,phone_course_deg,accuracy_m,unmatched_reason
473.7291117,1267.162459,476.93,1284.79,145.13198726173027,-37.90901455454441,native,False,True,28533357#0,0,4.472095888139561,False,473.72911169938743,1267.162459000945,473.72911169938743,1267.162459000945,479.1198840997507,1271.9404847750811,-37.90897248604323,145.13204964212295,7.20346842644756,7.20346842644756,,,,,5.960500042419881,0.0,,,
473.0268462,1272.159309,476.93,1284.79,145.1319804155997,-37.90896941496369,native,False,True,28533357#0,0,2.8421556217423354,False,473.02684620110085,1272.1593089997768,473.02684620110085,1272.1593089997768,478.7408785933918,1273.5257481911017,-37.90895813719978,145.1320456940888,5.875144444499969,5.875144444499969,,,,,2.3464999976567924,0.0,,,
471.7866339,1275.069598,476.93,1284.79,145.1319669777577,-37.90894297451234,native,False,True,1272942443#3,0,2.3930624798354128,False,471.78663390059955,1275.069597998634,471.78663390059955,1275.069597998634,471.70762126887706,1278.402798258187,-37.90891293398941,145.13196683883137,3.3341366148158764,3.3341366148158764,,,,,2.4772000033408403,0.0,,,
477.7709816,1282.304613,476.93,1284.79,145.1320366666742,-37.90887888002193,native,False,True,:3157090491_0,0,2.446291221702454,True,477.7709816005081,1282.3046129988506,477.7709816005081,1282.3046129988506,478.3937200631617,1282.1688087135913,-37.90888021578852,145.13204371611235,0.6373742987938874,0.6373742987938874,,,,,2.136400027666241,0.0,,,
475.7362837,1288.214475,477.3118565,1288.028709,145.1320148791262,-37.9088252752965,native,False,True,-1272942443#2,0,3.2599230252891207,False,475.7362836992834,1288.2144750002772,475.7362836992834,1288.2144750002772,477.31171372816806,1288.0274979166848,-37.908827244010396,145.13203274875355,1.5864867492986865,1.5864867492986865,,,,,2.329600043594837,0.0,,,
478.0171809,1294.462773,478.0697274,1294.456577,145.1320422358616,-37.90876940086211,native,False,True,-1272942443#2,0,9.729895744757552,False,478.01718090078793,1294.4627729998901,478.01718090078793,1294.4627729998901,478.0693013732552,1294.4529634990902,-37.90876949863656,145.1320428262224,0.05303555369896409,0.05303555369896409,,,,,2.9734999989159405,0.0,,,
479.4925256,1302.843308,479.064506,1302.893773,145.1320609194223,-37.9086941733143,native,False,True,-1272942443#2,0,18.22235685909141,False,479.49252560094465,1302.843307999894,479.49252560094465,1302.843307999894,479.06370797983055,1302.8870047178223,-37.90869370227992,145.1320560538422,0.4310382295523791,0.4310382295523791,,,,,2.5757999974302948,0.0,,,
480.8408586,1312.132408,480.1834854,1312.212917,145.13207836584652,-37.908610738265224,native,False,True,-1272942443#1,0,3.23724418881345,False,480.84085859777406,1312.1324079986662,480.84085859777406,1312.1324079986662,480.1835245597877,1312.213236430587,-37.90860989149229,145.13207091056697,0.6622848880219139,0.6622848880219139,,,,,2.310900017619133,0.0,,,
482.7968747,1319.726018,481.1286354,1319.930327,145.1321023351348,-37.908542686277684,native,False,True,1272942443#1,0,90.93264783737028,False,482.7968747005798,1319.726018000394,482.7968747005798,1319.726018000394,483.1211011950843,1319.6933857518884,-37.9085430387598,145.13210601405683,0.3258645169103492,0.3258645169103492,,,,,2.1498999558389187,0.0,,,
484.386391,1329.440501,482.3242743,1329.693048,145.1321226205554,-37.908455462799694,native,False,True,1272942443#1,0,81.09771580787536,False,484.3863910001237,1329.4405010007322,484.3863910001237,1329.4405010007322,484.3174126906687,1329.4552875558566,-37.90845531714839,145.1321218396626,0.07054537112893067,0.07054537112893067,,,,,2.0800000056624413,0.0,,,
