gps_x,gps_y,gt_x,gt_y,lon,lat,method,kalman,matched,edge_id,lane_index,lane_pos,is_internal_edge,raw_x,raw_y,filt_x,filt_y,matched_x,matched_y,matched_lat,matched_lon,match_error_raw_m,match_error_filt_m,raw_dist,score,components,window_len,match_ms,phone_speed_mps,phone_course_deg,accuracy_m,unmatched_reason
473.7291117,1267.162459,476.93,1284.79,145.13198726173027,-37.90901455454441,hmm,False,True,28533357#0,0,,False,473.72911169938743,1267.162459000945,473.72911169938743,1267.162459000945,479.12,1271.94,-37.908972490431125,145.13204964333025,7.2032336257636835,7.2032336257636835,7.2032336257636835,0.0,emission=-3.889 transition=-- sigma=4.070 num_candidates=5.000,,13.447500008624047,0.0,,,
473.0268462,1272.159309,476.93,1284.79,145.1319804155997,-37.90896941496369,hmm,False,True,28533357#0,0,,False,473.02684620110085,1272.1593089997768,473.02684620110085,1272.1593089997768,478.7409522515944,1273.525440101504,-37.90895813998841,145.13204569485606,5.875144435960158,5.875144435960158,5.875144435960158,0.0,emission=-3.364 transition=-15.470 sigma=4.070 num_candidates=5.000,,10.85419999435544,0.0,,,
471.7866339,1275.069598,476.93,1284.79,145.1319669777577,-37.90894297451234,hmm,False,True,28533357#0,0,,False,471.78663390059955,1275.069597998634,471.78663390059955,1275.069597998634,478.08,1276.29,-37.908933116867765,145.13203880983528,6.41060355239822,6.41060355239822,6.405008113490382,0.0,emission=-3.561 transition=0.004 sigma=4.070 num_candidates=5.000,,5.413100006990135,0.0,,,
477.7709816,1282.304613,476.93,1284.79,145.1320366666742,-37.90887888002193,hmm,False,True,-1272942443#2,0,,False,477.7709816005081,1282.3046129988506,477.7709816005081,1282.3046129988506,476.93,1284.79,-37.908856339259714,145.13202767117173,2.623813750607149,2.623813750607149,0.6597096222202685,0.0,emission=-2.336 transition=-10.576 sigma=4.070 num_candidates=5.000,,9.19479998992756,0.0,,,
475.7362837,1288.214475,477.3118565,1288.028709,145.1320148791262,-37.9088252752965,hmm,False,True,-1272942443#2,0,,False,475.7362836992834,1288.2144750002772,475.7362836992834,1288.2144750002772,477.3118564932009,1288.0287087756667,-37.90882723312846,145.1320327506526,1.5864862807913047,1.5864862807913047,1.5864862807913047,0.0,emission=-2.399 transition=-13.336 sigma=4.070 num_candidates=5.000,,5.681000009644777,0.0,,,
478.0171809,1294.462773,478.0697274,1294.456577,145.1320422358616,-37.90876940086211,hmm,False,True,-1272942443#2,0,,False,478.01718090078793,1294.4627729998901,478.01718090078793,1294.4627729998901,478.0697274842015,1294.4565775511908,-37.90876946615723,145.13204283189052,0.05291055672572481,0.05291055672572481,0.05291055672572481,0.0,emission=-2.323 transition=0.713 sigma=4.070 num_candidates=5.000,,11.499000014737248,0.0,,,
479.4925256,1302.843308,479.064506,1302.893773,145.1320609194223,-37.9086941733143,hmm,False,True,-1272942443#2,0,,False,479.49252560094465,1302.843307999894,479.49252560094465,1302.843307999894,479.0645060095248,1302.8937731918954,-37.90869364145195,145.1320560644576,0.43098434570522204,0.43098434570522204,0.43098434570522204,0.0,emission=-2.328 transition=1.541 sigma=4.070 num_candidates=5.000,,5.855499999597669,0.0,,,
480.8408586,1312.132408,480.1834854,1312.212917,145.13207836584652,-37.908610738265224,hmm,False,True,-1272942443#1,0,,False,480.84085859777406,1312.1324079986662,480.84085859777406,1312.1324079986662,480.1834853650777,1312.2129163949828,-37.908609894368176,145.13207091004844,0.6622848095367848,0.6622848095367848,0.6622848095367848,0.0,emission=-2.336 transition=-28.084 sigma=4.070 num_candidates=5.000,,8.623400004580617,0.0,,,
482.7968747,1319.726018,481.1286354,1319.930327,145.1321023351348,-37.908542686277684,hmm,False,True,-1272942443#1,0,,False,482.7968747005798,1319.726018000394,482.7968747005798,1319.726018000394,481.12863542710045,1319.9303270015828,-37.908540544693686,145.1320834143095,1.68070355552239,1.68070355552239,1.6807035555223901,0.0,emission=-2.408 transition=1.277 sigma=4.070 num_candidates=5.000,,8.365700021386147,0.0,,,
484.386391,1329.440501,482.3242743,1329.693048,145.1321226205554,-37.908455462799694,hmm,False,True,-1272942443#1,0,,False,484.3863910001237,1329.4405010007322,484.3863910001237,1329.4405010007322,482.32427434343026,1329.6930481030342,-37.90845281558415,145.13209923248098,2.0775238012339763,2.0775238012339763,2.0775238012339763,0.0,emission=-2.453 transition=1.569 sigma=4.070 num_candidates=5.000,,8.072800002992153,0.0,,,
